subject,type,course,category,year,university,student_1,professor_1,professor_2,professor_3,moshaver_1,moshaver_2,moshaver_3
بررسی الگوریتم‌های ژنتیک در حل مسایل بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,N/A,1383,دانشگاه تهران، دانشکده علوم,زهرا رزاقی,هایده اهرابیان,N/A,N/A,N/A,N/A,N/A
بکارگیری روشهای الکتروفورزی در مطالعه تغییرات الگوی پلی پپتیدی گیاه تراریخت زیتون حاوی ژن ‌‌p5cs‌‌ (تحت اثر پروموتور قوی ویروسی) در مقایسه با گیاه زیتون غیر تراریخت تحت اثر تنش اسمزی,پارسای داخل کشور,کارشناسی ارشد,N/A,1383,دانشگاه تهران، دانشکده علوم,فرنک هادی,نسرین معتمد,فردوس رستگار جزی,N/A,N/A,N/A,N/A
بررسی الگوریتمهای مورچه‌ای در حل مسائل بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,N/A,1384,دانشگاه تهران، دانشکده ریاضی,سارا آوانسری,هایده اهرابیان,N/A,N/A,N/A,N/A,N/A
ترکیب اطلاعات طبقه بندی کننده های ساختار دوم پروتئین ها,پارسای داخل کشور,کارشناسی ارشد,N/A,1385,دانشگاه تهران، پردیس دانشکده‌های فنی - دانشکده مهندسی برق و کامپیوتر,عبدالمجید کاظمیان,بهزاد مشیری,N/A,N/A,کارو لوکس,N/A,N/A
تجمیع پایگاه‌های داده بیوانفورماتیک با رویکرد ترکیب داده,پارسای داخل کشور,کارشناسی ارشد,N/A,1386,دانشگاه تهران,عادل اردلان,بهزاد مشیری,N/A,N/A,مسعود رهگذر,N/A,N/A
بررسی کاربردهای کشف قوانین وابستگی در بیان ژن,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌مهندسی نرم افزار,1387,دانشگاه شیراز، دانشکده مهندسی,مهدی اسدپور,علی نیازی,N/A,N/A,منصور ذوالقدری جهرمی,N/A,N/A
یافتن الگو در دنباله‌های زیستی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1387,دانشگاه شیراز,الهام شرافت,کورش زیارتی,N/A,N/A,N/A,N/A,N/A
محاسبات مولکولی و الگوریتم های بیوانفورماتیک,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1387,دانشگاه تهران,محمد گنج تابش,هایده اهرابیان,N/A,N/A,ژان مارک استیق,N/A,N/A
ارتقاء دقت مکان یابی ژنی رابطه ای بوسیله روش های داده کاوی و تاثیر آن در بهبود مدل سازی و پیش بینی وضعیت مستعدین بیماری دیابت نوع یک,پارسای داخل کشور,کارشناسی ارشد,N/A,1387,دانشگاه صنعتی اصفهان، دانشکده مهندسی برق و الکترونیک,زهرا ماهور,محمدحسین سرایی,N/A,N/A,N/A,N/A,N/A
یافتن موتیف در رشته های زیستی,پارسای داخل کشور,کارشناسی ارشد,N/A,1387,دانشگاه تهران، پردیس علوم - دانشکده ریاضی، آمار و علوم کامپیوتر,سمیه‌سادات هاشمی‌فر,عباس‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ نوذری دالینی‌‌‌‌‌‌‌‌,مهدی صادقی,N/A,هایده‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ اهرابیان‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A
